이름,소속 광역자치단체,형태,면적(km2),인구(명),,,,,,,
가평군,경기도,군,843.71,"62,814",,,,,,,
강릉시,강원도,자치시,"1,040.34","212,858",,,,,,,
고성군,강원도,군,664.28,"27,928",,,,,,,
동해시,강원도,자치시,180.21,"90,973",,,,,,,
삼척시,강원도,자치시,"1,187","67,771",,,,,,,
속초시,강원도,자치시,105.72,"81,442",,,,,,,
양구군,강원도,군,706.57,"23,189",,,,,,,
양양군,강원도,군,630.09,"27,430",,,,,,,
영월군,강원도,군,"1,127.61","39,535",,,,,,,
원주시,강원도,자치시,868.28,"345,143",,,,,,,
인제군,강원도,군,"1,645.20","31,977",,,,,,,
정선군,강원도,군,"1,219.74","37,451",,,,,,,
철원군,강원도,군,889.46,"46,006",,,,,,,
춘천시,강원도,자치시,"1,116.41","280,385",,,,,,,
태백시,강원도,자치시,303.47,"44,557",,,,,,,
평창군,강원도,군,"1,463.83","42,570",,,,,,,
홍천군,강원도,군,"1,820.14","69,675",,,,,,,
화천군,강원도,군,908.93,"24,986",,,,,,,
횡성군,강원도,군,997.75,"46,569",,,,,,,
고양시,경기도,특례시,267.33,"1,043,426",,,,,,,
과천시,경기도,자치시,35.87,"58,280",,,,,,,
광명시,경기도,자치시,38.52,"325,766",,,,,,,
광주시,경기도,자치시,431.02,"364,472",,,,,,,
구리시,경기도,자치시,33.31,"202,687",,,,,,,
군포시,경기도,자치시,36.41,"276,058",,,,,,,
김포시,경기도,자치시,276.64,"427,776",,,,,,,
남양주시,경기도,자치시,458.05,"684,411",,,,,,,
동두천시,경기도,자치시,95.67,"95,795",,,,,,,
부천시,경기도,자치시,53.44,"840,735",,,,,,,
성남시,경기도,특례시,141.66,"952,364",,,,,,,
수원시,경기도,특례시,121.05,"1,199,495",,,,,,,
시흥시,경기도,자치시,135.79,"454,800",,,,,,,
안산시,경기도,특례시,154.23,"659,378",,,,,,,
안성시,경기도,자치시,553.39,"183,676",,,,,,,
안양시,경기도,특례시,58.52,"574,672",,,,,,,
양주시,경기도,자치시,310.34,"218,057",,,,,,,
양평군,경기도,군,877.69,"116,116",,,,,,,
여주시,경기도,자치시,608.37,"111,205",,,,,,,
